year,month,day,day_type
2019,1,1,holiday
2019,3,4,holiday
2019,3,5,holiday
2019,3,24,holiday
2019,4,2,holiday
2019,4,18,holiday
2019,4,19,holiday
2019,5,1,holiday
2019,5,25,holiday
2019,6,17,holiday
2019,6,20,holiday
2019,7,8,holiday
2019,7,9,holiday
2019,8,17,holiday
2019,8,19,holiday
2019,10,12,holiday
2019,10,14,holiday
2019,11,18,holiday
2019,12,8,holiday
2019,12,25,holiday
2020,1,1,holiday
2020,2,24,holiday
2020,2,25,holiday
2020,3,23,holiday
2020,3,24,holiday
2020,3,31,holiday
2020,4,9,holiday
2020,4,10,holiday
2020,5,1,holiday
2020,5,25,holiday
2020,6,15,holiday
2020,6,20,holiday
2020,7,9,holiday
2020,7,10,holiday
2020,8,17,holiday
2020,10,12,holiday
2020,11,23,holiday
2020,12,7,holiday
2020,12,8,holiday
2020,12,25,holiday
2021,1,1,holiday
2021,2,15,holiday
2021,2,16,holiday
2021,3,24,holiday
2021,4,2,holiday
2021,5,1,holiday
2021,5,24,holiday
2021,5,25,holiday
2021,6,20,holiday
2021,6,21,holiday
2021,7,9,holiday
2021,8,16,holiday
2021,10,8,holiday
2021,10,11,holiday
2021,11,20,holiday
2021,11,23,holiday
2021,12,8,holiday
2021,12,25,holiday
2022,1,1,holiday
2022,2,28,holiday
2022,3,1,holiday
2022,3,24,holiday
2022,4,2,holiday
2022,4,14,holiday
2022,4,15,holiday
2022,5,1,holiday
2022,5,18,holiday
2022,5,25,holiday
2022,6,17,holiday
2022,6,20,holiday
2022,7,9,holiday
2022,8,15,holiday
2022,10,7,holiday
2022,10,10,holiday
2022,11,20,holiday
2022,11,21,holiday
2022,12,8,holiday
2022,12,9,holiday
2022,12,25,holiday
